taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
361077,Tieghemostelium_lacteum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Raperosteliaceae,g__Tieghemostelium,s__Tieghemostelium_lacteum
1735747,Stramenopiles_sp_TOSAG23_6,d__Eukaryota,k__Stramenopiles_sp_TOSAG23_6__S+,p__Stramenopiles_sp_TOSAG23_6__S+,c__Stramenopiles_sp_TOSAG23_6__S+,o__Stramenopiles_sp_TOSAG23_6__S+,f__Stramenopiles_sp_TOSAG23_6__S+,g__Stramenopiles_sp_TOSAG23_6__S+,s__Stramenopiles_sp_TOSAG23_6
2728823,Parietichytrium_sp_I65_24A,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Thraustochytrida,f__Thraustochytriaceae,g__Parietichytrium,s__Parietichytrium_sp_I65_24A
478820,Blastocystis_sp_ATCC_50177_Nand_II,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Opalinata,f__Blastocystidae,g__Blastocystis,s__Blastocystis_sp_subtype_1
907947,Phytopythium_vexans,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Phytopythium,s__Phytopythium_vexans
432359,Toxoplasma_gondii_VEG,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Toxoplasma,s__Toxoplasma_gondii
2826164,Euplotes_cf_woodruffi_2_WChen_2021,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Euplotida,f__Euplotidae,g__Euplotes,s__Euplotes_cf_woodruffi_2_WChen_2021
2052605,Eimeria_sp_OTU_Z,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Eimeriidae,g__Eimeria,s__Eimeria_sp_OTU_Z
33653,Cafeteria_roenbergensis,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Bicosoecida,f__Cafeteriaceae,g__Cafeteria,s__Cafeteria_roenbergensis
2880,Ectocarpus_siliculosus,d__Eukaryota,k__Phaeophyceae__C+,p__Phaeophyceae__C+,c__Phaeophyceae,o__Ectocarpales,f__Ectocarpaceae,g__Ectocarpus,s__Ectocarpus_siliculosus
885318,Entamoeba_histolytica_HM_1_IMSS_A,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Mastigamoebida__O+,o__Mastigamoebida,f__Entamoebidae,g__Entamoeba,s__Entamoeba_histolytica
5666,Leishmania_tropica,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Trypanosomatida,f__Trypanosomatidae,g__Leishmania,s__Leishmania_tropica
635003,Fragilariopsis_cylindrus_CCMP1102,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Fragilariopsis,s__Fragilariopsis_cylindrus
2041349,Nitzschia_sp_Nitz4,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Nitzschia,s__Nitzschia_sp_Nitz4
2600580,Hepatocystis_sp_ex_Piliocolobus_tephrosceles,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Hepatocystis,s__Hepatocystis_sp_ex_Piliocolobus_tephrosceles
1314962,Perkinsela_sp_CCAP_1560_4,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Ichthyobodonidae__F+,f__Ichthyobodonidae,g__Perkinsela,s__Perkinsela_sp_CCAP_1560_4
192020,Globisporangium_carolinianum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_carolinianum
2029566,Trypanosomatidae_sp_JR_2017b,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Trypanosomatida,f__Trypanosomatidae,g__Trypanosomatidae_sp_JR_2017b__S+,s__Trypanosomatidae_sp_JR_2017b
