taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
2604877,Cenarchaeum_sp_SB0666_bin_15,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Cenarchaeales__O+,o__Cenarchaeales,f__Cenarchaeaceae,g__Cenarchaeum,s__Cenarchaeum_sp_SB0666_bin_15
2072416,Candidatus_Methanoperedenaceae_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Candidatus_Methanoperedenaceae,g__Candidatus_Methanoperedenaceae_archaeon__S+,s__Candidatus_Methanoperedenaceae_archaeon
869892,Haloplanus_ruber,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus_ruber
274854,uncultured_Candidatus_Poseidoniales_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__uncultured_Candidatus_Poseidoniales_archaeon__S+,g__uncultured_Candidatus_Poseidoniales_archaeon__S+,s__uncultured_Candidatus_Poseidoniales_archaeon
2666344,Candidatus_Poseidonia_sp,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Candidatus_Poseidoniaceae,g__Candidatus_Poseidonia,s__Candidatus_Poseidonia_sp
2282127,Halorubrum_sp_Atlit_9R,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_Atlit_9R
35749,Thermococcus_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sp
2691037,Candidatus_Methanoperedenaceae_archaeon_GB37,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Candidatus_Methanoperedenaceae,g__Candidatus_Methanoperedenaceae_archaeon_GB37__S+,s__Candidatus_Methanoperedenaceae_archaeon_GB37
1227493,Natrialba_hulunbeirensis_JCM_10989,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrialba,s__Natrialba_hulunbeirensis
1233402,uncultured_Methanomassiliicoccus_sp,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__uncultured_Methanomassiliicoccus_sp
2223,Methanothrix_soehngenii,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanothrix_soehngenii
